[2025-09-20T19:47:09.187+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-09-20T19:47:09.214+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Invoices scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.226+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Invoices scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.227+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 3
[2025-09-20T19:53:09.234+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 56 with 15000 rows
[2025-09-20T19:53:13.997+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 840,000
[2025-09-20T19:53:14.255+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 57 with 15000 rows
[2025-09-20T19:53:18.674+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 855,000
[2025-09-20T19:53:18.931+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 58 with 15000 rows
[2025-09-20T19:53:24.637+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 870,000
[2025-09-20T19:53:24.990+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 59 with 15000 rows
[2025-09-20T19:53:29.830+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 885,000
[2025-09-20T19:53:30.075+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 60 with 15000 rows
[2025-09-20T19:53:35.125+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 900,000
[2025-09-20T19:53:35.456+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 61 with 15000 rows
[2025-09-20T19:53:43.817+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 915,000
[2025-09-20T19:53:44.107+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 62 with 15000 rows
[2025-09-20T19:53:49.342+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 930,000
[2025-09-20T19:53:49.666+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 63 with 15000 rows
[2025-09-20T19:53:54.981+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 945,000
[2025-09-20T19:53:55.299+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 64 with 15000 rows
[2025-09-20T19:54:01.286+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 960,000
[2025-09-20T19:54:01.609+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 65 with 15000 rows
[2025-09-20T19:54:07.583+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 975,000
[2025-09-20T19:54:07.894+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 66 with 15000 rows
[2025-09-20T19:54:19.128+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 990,000
[2025-09-20T19:54:19.558+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 67 with 15000 rows
[2025-09-20T19:54:29.088+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,005,000
[2025-09-20T19:54:29.624+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 68 with 15000 rows
[2025-09-20T19:54:41.144+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,020,000
[2025-09-20T19:54:41.691+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 69 with 15000 rows
[2025-09-20T19:54:47.092+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,035,000
[2025-09-20T19:54:47.342+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 70 with 15000 rows
[2025-09-20T19:54:55.192+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,050,000
[2025-09-20T19:54:55.510+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 71 with 15000 rows
[2025-09-20T19:55:00.553+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,065,000
[2025-09-20T19:55:00.830+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 72 with 15000 rows
[2025-09-20T19:55:05.212+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,080,000
[2025-09-20T19:55:05.447+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 73 with 15000 rows
